,Unnamed: 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,,2020-01-03 00:00:00,2020-01-10 00:00:00,2020-01-17 00:00:00,2020-01-24 00:00:00,2020-01-31 00:00:00,2020-02-07 00:00:00,2020-02-14 00:00:00,2020-02-21 00:00:00,2020-02-28 00:00:00,2020-03-06 00:00:00,2020-03-13 00:00:00,2020-03-20 00:00:00,2020-03-27 00:00:00,2020-04-03 00:00:00,2020-04-10 00:00:00,2020-04-17 00:00:00,2020-04-24 00:00:00,2020-05-01 00:00:00,2020-05-08 00:00:00,2020-05-15 00:00:00,2020-05-22 00:00:00,2020-05-29 00:00:00,2020-06-05 00:00:00,2020-06-12 00:00:00,2020-06-19 00:00:00,2020-06-26 00:00:00,2020-07-03 00:00:00,2020-07-10 00:00:00
7,0-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,5-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
10,15-19,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0
11,20-24,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,3,4,3,3,0,0,1,0,1,0,0,0,1
12,25-29,0,0,0,0,0,0,0,0,0,0,0,3,4,12,15,9,12,5,6,2,0,3,0,2,0,0,0,0
13,30-34,0,0,0,0,0,0,0,0,0,0,0,0,12,13,11,10,12,9,3,5,2,1,1,1,0,0,1,0
14,35-39,0,0,0,0,0,0,0,0,0,0,0,0,9,16,29,26,15,10,8,5,1,3,3,3,2,0,1,0
15,40-44,0,0,0,0,0,0,0,0,0,0,1,3,11,29,53,46,34,14,16,13,8,6,4,7,4,0,2,2
16,45-49,0,0,0,0,0,0,0,0,0,0,0,7,27,73,89,72,54,42,25,21,17,10,7,6,2,6,3,2
17,50-54,0,0,0,0,0,0,0,0,0,0,0,17,42,97,171,154,117,74,47,29,25,25,17,13,10,9,6,5
18,55-59,0,0,0,0,0,0,0,0,0,0,1,13,78,205,269,248,219,118,82,62,46,45,28,16,16,8,10,6
19,60-64,0,0,0,0,0,0,0,0,0,0,5,20,93,279,436,367,256,161,136,80,74,64,29,31,21,17,12,10
20,65-69,0,0,0,0,0,0,0,0,0,0,5,28,131,369,536,490,346,269,180,129,78,67,70,37,36,29,17,12
21,70-74,0,0,0,0,0,0,0,0,0,1,6,38,216,598,862,785,579,391,340,196,186,138,110,66,70,47,37,27
22,75-79,0,0,0,0,0,0,0,0,0,3,2,46,289,811,1221,1083,843,665,474,347,274,204,160,118,85,77,56,34
23,80-84,0,0,0,0,0,0,0,0,0,1,8,73,352,1013,1563,1561,1324,984,713,544,415,355,255,196,127,118,85,51
24,85-89,0,0,0,0,0,0,0,0,0,0,8,84,334,862,1530,1725,1466,1112,897,647,529,391,283,206,140,117,88,56
25,90+,0,0,0,0,0,0,0,0,0,1,7,69,270,792,1423,1706,1636,1329,1038,768,609,452,329,231,156,140,100,77
